# DATE: 2014-06-07T05:35:30
#Pause,Count,Name
SHARYANTO,434,Steven Haryanto
TOBYINK,300,Toby Inkster
RJBS,290,Ricardo SIGNES
ADAMK,287,Adam Kennedy
ZOFFIX,269,Zoffix Znet
TOKUHIROM,249,Tokuhiro Matsuno
MIYAGAWA,230,Tatsuhiko Miyagawa
BINGOS,210,Chris Williams
FLORA,207,Florian Ragwitz
SMUELLER,189,Steffen Mueller
MARCEL,182,Marcel Gruenauer
DAGOLDEN,177,David Golden
INGY,176,Ingy dot Net
BOBTFISH,172,Tomas Doran
NUFFIN,161,Yuval Kogman
ETHER,138,Karen Etheridge
DMAKI,137,Daisuke Maki
DROLSKY,135,Dave Rolsky
GUGOD,135,Liu Kang Min
KENTNL,128,Kent Fredric
BDFOY,126,brian d foy
AUTRIJUS,125,Audrey Tang
RSAVAGE,123,Ron Savage
SIMON,121,Simon Cozens
SHLOMIF,113,Shlomi Fish
FAYLAND,111,Fayland Lin
LBROCARD,111,Leon Brocard
MRAMBERG,110,Marcus Ramberg
PEVANS,109,Paul Evans
BARBIE,108,Barbie
SALVA,106,Salvador Fandino Garcia
MLEHMANN,106,Marc Lehmann
SZABGAB,104,Gabor Szabo
DMUEY,101,Daniel Muey
LEOCHARRE,101,Leo Charre
